scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
FCFS,331,7455,22,18363,18385,10908,10930,10908
FCFS,371,7509,2,18385,18387,10876,10878,10876
FCFS,44,7513,23,18387,18410,10874,10897,10874
FCFS,159,7526,36,18410,18446,10884,10920,10884
FCFS,487,7543,10,18446,18456,10903,10913,10903
FCFS,176,7554,77,18456,18533,10902,10979,10902
FCFS,57,7555,93,18533,18626,10978,11071,10978
FCFS,405,7560,8,18626,18634,11066,11074,11066
FCFS,340,7560,49,18634,18683,11074,11123,11074
FCFS,135,7574,57,18683,18740,11109,11166,11109
FCFS,488,7587,44,18740,18784,11153,11197,11153
FCFS,68,7629,40,18784,18824,11155,11195,11155
FCFS,483,7668,50,18824,18874,11156,11206,11156
FCFS,299,7679,53,18874,18927,11195,11248,11195
FCFS,297,7683,34,18927,18961,11244,11278,11244
FCFS,124,7721,45,18961,19006,11240,11285,11240
FCFS,467,7723,97,19006,19103,11283,11380,11283
FCFS,35,7734,16,19103,19119,11369,11385,11369
FCFS,202,7777,86,19119,19205,11342,11428,11342
FCFS,411,7805,52,19205,19257,11400,11452,11400
FCFS,335,7806,5,19257,19262,11451,11456,11451
FCFS,25,7849,61,19262,19323,11413,11474,11413
FCFS,127,7858,21,19323,19344,11465,11486,11465
FCFS,71,7869,50,19344,19394,11475,11525,11475
FCFS,73,7892,66,19394,19460,11502,11568,11502
FCFS,75,7916,29,19460,19489,11544,11573,11544
FCFS,389,7987,17,19489,19506,11502,11519,11502
FCFS,61,7989,9,19506,19515,11517,11526,11517
FCFS,353,7992,61,19515,19576,11523,11584,11523
FCFS,167,7994,41,19576,19617,11582,11623,11582
FCFS,295,7996,88,19617,19705,11621,11709,11621
FCFS,463,8002,26,19705,19731,11703,11729,11703
FCFS,200,8004,63,19731,19794,11727,11790,11727
FCFS,88,8006,70,19794,19864,11788,11858,11788
FCFS,281,8050,88,19864,19952,11814,11902,11814
FCFS,339,8096,34,19952,19986,11856,11890,11856
FCFS,112,8110,92,19986,20078,11876,11968,11876
FCFS,231,8120,1,20078,20079,11958,11959,11958
FCFS,421,8130,22,20079,20101,11949,11971,11949
FCFS,109,8154,1,20101,20102,11947,11948,11947
FCFS,230,8155,73,20102,20175,11947,12020,11947
FCFS,183,8164,82,20175,20257,12011,12093,12011
FCFS,357,8173,1,20257,20258,12084,12085,12084
FCFS,300,8208,66,20258,20324,12050,12116,12050
FCFS,53,8226,95,20324,20419,12098,12193,12098
FCFS,478,8306,100,20419,20519,12113,12213,12113
FCFS,401,8308,18,20519,20537,12211,12229,12211
FCFS,396,8311,84,20537,20621,12226,12310,12226
FCFS,322,8319,61,20621,20682,12302,12363,12302
FCFS,10,8322,23,20682,20705,12360,12383,12360
FCFS,218,8338,5,20705,20710,12367,12372,12367
FCFS,267,8352,98,20710,20808,12358,12456,12358
FCFS,103,8392,58,20808,20866,12416,12474,12416
FCFS,43,8433,53,20866,20919,12433,12486,12433
FCFS,257,8445,47,20919,20966,12474,12521,12474
FCFS,449,8527,94,20966,21060,12439,12533,12439
FCFS,76,8529,37,21060,21097,12531,12568,12531
FCFS,82,8571,17,21097,21114,12526,12543,12526
FCFS,22,8666,49,21114,21163,12448,12497,12448
FCFS,222,8680,53,21163,21216,12483,12536,12483
FCFS,83,8684,71,21216,21287,12532,12603,12532
FCFS,349,8716,56,21287,21343,12571,12627,12571
FCFS,287,8754,29,21343,21372,12589,12618,12589
FCFS,131,8755,36,21372,21408,12617,12653,12617
FCFS,42,8792,100,21408,21508,12616,12716,12616
FCFS,207,8800,33,21508,21541,12708,12741,12708
FCFS,479,8808,77,21541,21618,12733,12810,12733
FCFS,237,8815,65,21618,21683,12803,12868,12803
FCFS,40,8838,52,21683,21735,12845,12897,12845
FCFS,491,8867,40,21735,21775,12868,12908,12868
FCFS,160,8901,90,21775,21865,12874,12964,12874
